,0
992,oud
993,israeli indie
994,psybass
995,bard
996,balkan brass
997,tucson indie
998,muzika l'yeladim
999,nitzhonot
1000,sitar
1001,lebanese indie
1002,nova musica paulista
1003,brazilian percussion
1004,outsider
1005,denton tx indie
1006,tuareg guitar
1007,musique touareg
1008,swiss indie
1009,semba
1010,hangpan
1011,shaabi
1012,khaliji
1013,marimba orquesta
1014,marimba de guatemala
1015,nasheed
1016,spanish invasion
1017,mallet
1018,huapango
1019,latvian indie
1020,neue deutsche welle
1021,norwegian americana
1022,abstract
1023,afro psych
1024,chill out
1025,queercore
1026,riot grrrl
1027,dainuojamoji poezija
1028,hauntology
1029,footwork
1030,gundam
1031,danish indie
1032,lithuanian indie
1033,vaikiskos dainos
1034,hammond organ
1035,benga
1036,dresden indie
1037,atlanta indie
1038,bristol indie
1039,idaho indie
1040,arab groove
1041,italogaze
1042,western mass indie
1043,polish indie
1044,fluxwork
1045,deconstructed club
1046,rennes indie
1047,uk82
1048,yoga
1049,london indie
1050,sludgecore
1051,folclore jujeno
1052,uruguayan indie
1053,coco
1054,polca paraguaya
1055,kundiman
1056,candombe
1057,barnemusikk
1058,eventyr
1059,norske viser
1060,guitarra argentina
1061,chaabi algerien
1062,chinese audiophile
1063,paraguayan indie
1064,chill guitar
1065,rkt
1066,calypso
1067,balalaika
1068,czech indie
1069,magyar mulatos
1070,power thrash
1071,arkansas indie
1072,slovak indie
1073,detske pesnicky
1074,mluvene slovo
1075,bosnian indie
1076,binaural
1077,weightless
1078,northwest china indie
1079,super sentai
1080,xinyao
1081,fo jing
1082,er ge
1083,chinese minyao
1084,wind ensemble
1085,wuhan indie
1086,hong kong tv drama
1087,tone
1088,chinese drama ost
1089,bhajan
1090,taiwan instrumental
1091,touken ranbu
1092,bern indie
1093,kamen rider
1094,seinen
1095,love live
1096,maloya
1097,romanian indie
1098,honeyworks
1099,background piano
1100,black death
1101,taiwanese indie
1102,chinese manyao
1103,malaysian indie
1104,neomelodici
1105,japanese vtuber
1106,kizomba
1107,musica de intervencao
1108,campursari
1109,carimbo
1110,one-person band
1111,musica portuguesa contemporanea
1112,guitarra portuguesa
1113,musica angolana
1114,cancoes infantis
1115,funana
1116,portuguese indie
1117,balafon
1118,tuna
1119,musica potiguar
1120,choro
1121,ngoni
1122,musica santomense
1123,accordion
1124,sanfona
1125,baiao
